DATE,TOTAL,TIME,PM2.5,SO2_TIME,Location,YEAR,SO2
2022-03-01,6,2022-03-01 00:00:00,9.17e-08,2022-03-01 00:00:00,STATION 1 EKSUTH ADO,2022,
2022-04-01,2,2022-04-01 00:00:00,4.12e-08,2022-04-01 00:00:00,STATION 1 EKSUTH ADO,2022,
2022-05-01,2,2022-05-01 00:00:00,3.55e-08,2022-05-01 00:00:00,STATION 1 EKSUTH ADO,2022,
2022-06-01,2,2022-06-01 00:00:00,2.27e-08,2022-06-01 00:00:00,STATION 1 EKSUTH ADO,2022,
2022-07-01,4,2022-07-01 00:00:00,1.62e-08,2022-07-01 00:00:00,STATION 1 EKSUTH ADO,2022,
2022-08-01,1,2022-08-01 00:00:00,1.12e-08,2022-08-01 00:00:00,STATION 1 EKSUTH ADO,2022,
2022-09-01,0,2022-09-01 00:00:00,1.2e-08,2022-09-01 00:00:00,STATION 1 EKSUTH ADO,2022,
2022-10-01,1,2022-10-01 00:00:00,4.12e-08,2022-10-01 00:00:00,STATION 1 EKSUTH ADO,2022,
2022-11-01,32,2022-11-01 00:00:00,5.37e-08,2022-11-01 00:00:00,STATION 1 EKSUTH ADO,2022,
2022-12-01,31,2022-12-01 00:00:00,7.46e-08,2022-12-01 00:00:00,STATION 1 EKSUTH ADO,2022,
2018-01-01,36,2018-01-01 00:00:00,1.61355013e-07,2018-01-01 00:00:00,STATION 2 FMC IDO,2018,
2018-02-01,29,2018-02-01 00:00:00,8.59740554e-08,2018-02-01 00:00:00,STATION 2 FMC IDO,2018,
2018-03-01,21,2018-03-01 00:00:00,5.73167151e-08,2018-03-01 00:00:00,STATION 2 FMC IDO,2018,
2018-04-01,3,2018-04-01 00:00:00,5.87290111e-08,2018-04-01 00:00:00,STATION 2 FMC IDO,2018,
2018-05-01,3,2018-05-01 00:00:00,3.14726767e-08,2018-05-01 00:00:00,STATION 2 FMC IDO,2018,
2018-06-01,1,2018-06-01 00:00:00,2.36456666e-08,2018-06-01 00:00:00,STATION 2 FMC IDO,2018,
2018-07-01,1,2018-07-01 00:00:00,1.6380768e-08,2018-07-01 00:00:00,STATION 2 FMC IDO,2018,
2018-08-01,2,2018-08-01 00:00:00,1.18824943e-08,2018-08-01 00:00:00,STATION 2 FMC IDO,2018,
2018-09-01,5,2018-09-01 00:00:00,1.79121706e-08,2018-09-01 00:00:00,STATION 2 FMC IDO,2018,
2018-10-01,33,2018-10-01 00:00:00,3.08475984e-08,2018-10-01 00:00:00,STATION 2 FMC IDO,2018,
2018-11-01,41,2018-11-01 00:00:00,4.27922021e-08,2018-11-01 00:00:00,STATION 2 FMC IDO,2018,
2018-12-01,35,2018-12-01 00:00:00,1.38579241e-07,2018-12-01 00:00:00,STATION 2 FMC IDO,2018,
2019-01-01,36,2019-01-01 00:00:00,9.05564771e-08,2019-01-01 00:00:00,STATION 2 FMC IDO,2019,
2019-02-01,16,2019-02-01 00:00:00,1.03253791e-07,2019-02-01 00:00:00,STATION 2 FMC IDO,2019,
2019-03-01,24,2019-03-01 00:00:00,5.95614451e-08,2019-03-01 00:00:00,STATION 2 FMC IDO,2019,
2019-04-01,11,2019-04-01 00:00:00,4.86594628e-08,2019-04-01 00:00:00,STATION 2 FMC IDO,2019,
2019-05-01,4,2019-05-01 00:00:00,2.79067753e-08,2019-05-01 00:00:00,STATION 2 FMC IDO,2019,
2019-06-01,3,2019-06-01 00:00:00,1.81379809e-08,2019-06-01 00:00:00,STATION 2 FMC IDO,2019,
2019-07-01,8,2019-07-01 00:00:00,1.50912445e-08,2019-07-01 00:00:00,STATION 2 FMC IDO,2019,
2019-08-01,8,2019-08-01 00:00:00,1.12251008e-08,2019-08-01 00:00:00,STATION 2 FMC IDO,2019,
2019-09-01,0,2019-09-01 00:00:00,2.2821289e-08,2019-09-01 00:00:00,STATION 2 FMC IDO,2019,
2019-10-01,14,2019-10-01 00:00:00,2.14696804e-08,2019-10-01 00:00:00,STATION 2 FMC IDO,2019,
2019-11-01,34,2019-11-01 00:00:00,3.38379719e-08,2019-11-01 00:00:00,STATION 2 FMC IDO,2019,
2019-12-01,34,2019-12-01 00:00:00,6.86777076e-08,2019-12-01 00:00:00,STATION 2 FMC IDO,2019,
2020-01-01,28,2020-01-01 00:00:00,1.69993345e-07,2020-01-01 00:00:00,STATION 2 FMC IDO,2020,
2020-02-01,23,2020-02-01 00:00:00,1.56102993e-07,2020-02-01 00:00:00,STATION 2 FMC IDO,2020,
2020-03-01,7,2020-03-01 00:00:00,6.57673814e-08,2020-03-01 00:00:00,STATION 2 FMC IDO,2020,
2020-04-01,4,2020-04-01 00:00:00,5.04085434e-08,2020-04-01 00:00:00,STATION 2 FMC IDO,2020,
2020-05-01,9,2020-05-01 00:00:00,3.40304797e-08,2020-05-01 00:00:00,STATION 2 FMC IDO,2020,
2020-06-01,3,2020-06-01 00:00:00,2.27333389e-08,2020-06-01 00:00:00,STATION 2 FMC IDO,2020,
2020-07-01,2,2020-07-01 00:00:00,1.28509877e-08,2020-07-01 00:00:00,STATION 2 FMC IDO,2020,
2020-08-01,4,2020-08-01 00:00:00,1.14199112e-08,2020-08-01 00:00:00,STATION 2 FMC IDO,2020,
2020-09-01,5,2020-09-01 00:00:00,1.56674883e-08,2020-09-01 00:00:00,STATION 2 FMC IDO,2020,
2020-10-01,9,2020-10-01 00:00:00,3.25123006e-08,2020-10-01 00:00:00,STATION 2 FMC IDO,2020,
2020-11-01,40,2020-11-01 00:00:00,6.79358313e-08,2020-11-01 00:00:00,STATION 2 FMC IDO,2020,
2020-12-01,47,2020-12-01 00:00:00,6.62579672e-08,2020-12-01 00:00:00,STATION 2 FMC IDO,2020,
2021-01-01,28,2021-01-01 00:00:00,9.66729179e-08,2021-01-01 00:00:00,STATION 2 FMC IDO,2021,
2021-02-01,21,2021-02-01 00:00:00,1.43533474e-07,2021-02-01 00:00:00,STATION 2 FMC IDO,2021,
2021-03-01,19,2021-03-01 00:00:00,9.55963334e-08,2021-03-01 00:00:00,STATION 2 FMC IDO,2021,
2021-04-01,3,2021-04-01 00:00:00,5.46693621e-08,2021-04-01 00:00:00,STATION 2 FMC IDO,2021,
2021-05-01,2,2021-05-01 00:00:00,2.70633553e-08,2021-05-01 00:00:00,STATION 2 FMC IDO,2021,
2021-06-01,5,2021-06-01 00:00:00,2.43761797e-08,2021-06-01 00:00:00,STATION 2 FMC IDO,2021,
