DATE,TOTAL,TIME,MEAN,SO2 TIME,MEAN,Location
2018-01-01 00:00:00,33,2018-01-01 00:00:00,1.53463894e-07,2018-01-01 00:00:00,1.32843225e-09,OAUTHC IFE
2018-02-01 00:00:00,27,2018-02-01 00:00:00,8.1391992e-08,2018-02-01 00:00:00,1.0033534e-09,OAUTHC IFE
2018-03-01 00:00:00,33,2018-03-01 00:00:00,4.93491105e-08,2018-03-01 00:00:00,9.29835875e-10,OAUTHC IFE
2018-04-01 00:00:00,5,2018-04-01 00:00:00,5.43672875e-08,2018-04-01 00:00:00,7.34538708e-10,OAUTHC IFE
2018-05-01 00:00:00,4,2018-05-01 00:00:00,2.7111635e-08,2018-05-01 00:00:00,7.51998575e-10,OAUTHC IFE
2018-06-01 00:00:00,13,2018-06-01 00:00:00,2.04694043e-08,2018-06-01 00:00:00,7.38622385e-10,OAUTHC IFE
2018-07-01 00:00:00,2,2018-07-01 00:00:00,1.48636758e-08,2018-07-01 00:00:00,6.15258511e-10,OAUTHC IFE
2018-08-01 00:00:00,3,2018-08-01 00:00:00,1.01807696e-08,2018-08-01 00:00:00,5.16757248e-10,OAUTHC IFE
2018-09-01 00:00:00,9,2018-09-01 00:00:00,1.39694698e-08,2018-09-01 00:00:00,6.17145779e-10,OAUTHC IFE
2018-10-01 00:00:00,13,2018-10-01 00:00:00,2.38738641e-08,2018-10-01 00:00:00,8.44509518e-10,OAUTHC IFE
2018-11-01 00:00:00,32,2018-11-01 00:00:00,4.50371624e-08,2018-11-01 00:00:00,1.15213439e-09,OAUTHC IFE
2018-12-01 00:00:00,30,2018-12-01 00:00:00,1.2770333e-07,2018-12-01 00:00:00,1.25385247e-09,OAUTHC IFE
2019-01-01 00:00:00,27,2019-01-01 00:00:00,8.26466515e-08,2019-01-01 00:00:00,1.00516873e-09,OAUTHC IFE
2019-02-01 00:00:00,20,2019-02-01 00:00:00,9.65842867e-08,2019-02-01 00:00:00,1.0710457e-09,OAUTHC IFE
2019-03-01 00:00:00,15,2019-03-01 00:00:00,5.43386668e-08,2019-03-01 00:00:00,1.01300723e-09,OAUTHC IFE
2019-04-01 00:00:00,7,2019-04-01 00:00:00,4.11640151e-08,2019-04-01 00:00:00,8.2611662e-10,OAUTHC IFE
2019-05-01 00:00:00,10,2019-05-01 00:00:00,2.61138741e-08,2019-05-01 00:00:00,7.91621213e-10,OAUTHC IFE
2019-06-01 00:00:00,3,2019-06-01 00:00:00,1.66367817e-08,2019-06-01 00:00:00,6.4615191e-10,OAUTHC IFE
2019-07-01 00:00:00,5,2019-07-01 00:00:00,1.40294992e-08,2019-07-01 00:00:00,6.01931449e-10,OAUTHC IFE
2019-08-01 00:00:00,6,2019-08-01 00:00:00,1.04445611e-08,2019-08-01 00:00:00,5.04734865e-10,OAUTHC IFE
2019-09-01 00:00:00,9,2019-09-01 00:00:00,1.78979968e-08,2019-09-01 00:00:00,6.73434974e-10,OAUTHC IFE
2019-10-01 00:00:00,22,2019-10-01 00:00:00,1.77497807e-08,2019-10-01 00:00:00,6.18826379e-10,OAUTHC IFE
2019-11-01 00:00:00,29,2019-11-01 00:00:00,3.82132073e-08,2019-11-01 00:00:00,9.72213754e-10,OAUTHC IFE
2019-12-01 00:00:00,31,2019-12-01 00:00:00,7.07946749e-08,2019-12-01 00:00:00,1.12959431e-09,OAUTHC IFE
2020-01-01 00:00:00,36,2020-01-01 00:00:00,1.68300095e-07,2020-01-01 00:00:00,1.53145907e-09,OAUTHC IFE
2020-02-01 00:00:00,11,2020-02-01 00:00:00,1.48137954e-07,2020-02-01 00:00:00,1.40880652e-09,OAUTHC IFE
2020-03-01 00:00:00,16,2020-03-01 00:00:00,5.5086684e-08,2020-03-01 00:00:00,9.701e-10,OAUTHC IFE
2020-04-01 00:00:00,4,2020-04-01 00:00:00,4.2954255e-08,2020-04-01 00:00:00,7.51063489e-10,OAUTHC IFE
2020-05-01 00:00:00,9,2020-05-01 00:00:00,2.74852912e-08,2020-05-01 00:00:00,7.24657612e-10,OAUTHC IFE
2020-06-01 00:00:00,1,2020-06-01 00:00:00,1.97849378e-08,2020-06-01 00:00:00,7.22893356e-10,OAUTHC IFE
2020-07-01 00:00:00,2,2020-07-01 00:00:00,1.27796988e-08,2020-07-01 00:00:00,5.42607737e-10,OAUTHC IFE
2020-08-01 00:00:00,2,2020-08-01 00:00:00,1.08205528e-08,2020-08-01 00:00:00,4.29853653e-10,OAUTHC IFE
2020-09-01 00:00:00,8,2020-09-01 00:00:00,1.24297672e-08,2020-09-01 00:00:00,4.88883156e-10,OAUTHC IFE
2020-10-01 00:00:00,10,2020-10-01 00:00:00,2.69864397e-08,2020-10-01 00:00:00,6.56884436e-10,OAUTHC IFE
2020-11-01 00:00:00,32,2020-11-01 00:00:00,6.02686209e-08,2020-11-01 00:00:00,8.62714344e-10,OAUTHC IFE
2020-12-01 00:00:00,33,2020-12-01 00:00:00,6.30343032e-08,2020-12-01 00:00:00,1.02524123e-09,OAUTHC IFE
2021-01-01 00:00:00,20,2021-01-01 00:00:00,8.65628215e-08,2021-01-01 00:00:00,1.0693153e-09,OAUTHC IFE
2021-02-01 00:00:00,14,2021-02-01 00:00:00,1.4204247e-07,2021-02-01 00:00:00,1.08780507e-09,OAUTHC IFE
2021-03-01 00:00:00,5,2021-03-01 00:00:00,8.28883999e-08,2021-03-01 00:00:00,1.01158049e-09,OAUTHC IFE
2021-04-01 00:00:00,2,2021-04-01 00:00:00,5.1972617e-08,2021-04-01 00:00:00,8.07943934e-10,OAUTHC IFE
2021-05-01 00:00:00,2,2021-05-01 00:00:00,2.42299942e-08,2021-05-01 00:00:00,7.70851438e-10,OAUTHC IFE
2021-06-01 00:00:00,4,2021-06-01 00:00:00,2.12482209e-08,2021-06-01 00:00:00,8.63609517e-10,OAUTHC IFE
2021-07-01 00:00:00,2,2021-07-01 00:00:00,1.72878218e-08,2021-07-01 00:00:00,6.30224317e-10,OAUTHC IFE
2021-08-01 00:00:00,2,2021-08-01 00:00:00,1.25495315e-08,2021-08-01 00:00:00,6.19406804e-10,OAUTHC IFE
2021-09-01 00:00:00,16,2021-09-01 00:00:00,1.89757058e-08,2021-09-01 00:00:00,7.2039269e-10,OAUTHC IFE
2021-10-01 00:00:00,14,2021-10-01 00:00:00,2.54646728e-08,2021-10-01 00:00:00,8.17023504e-10,OAUTHC IFE
2021-11-01 00:00:00,25,2021-11-01 00:00:00,3.34401988e-08,2021-11-01 00:00:00,8.62205418e-10,OAUTHC IFE
